route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
48_137,12.696629213483147,7.955807304713318,22.6,1.78
48_137,14.331550802139038,7.955807304713318,26.8,1.87
48_137,11.932367149758454,7.955807304713318,24.7,2.07
48_137,12.333333333333334,7.955807304713318,29.6,2.4
48_137,15.974842767295597,7.955807304713318,25.4,1.59
48_137,11.882352941176471,7.955807304713318,30.3,2.55
48_137,12.194092827004217,7.955807304713318,28.9,2.37
48_137,14.842105263157896,7.955807304713318,28.2,1.9
48_137,13.039647577092511,7.955807304713318,29.6,2.27
48_137,11.9375,7.955807304713318,19.1,1.6
48_137,12.375,7.955807304713318,19.8,1.6
48_137,11.9375,7.955807304713318,19.1,1.6
48_137,15.73248407643312,7.955807304713318,24.7,1.57
48_142,20.71428571428571,8.509253554240729,5.8,0.28
48_142,14.499999999999998,8.509253554240729,5.8,0.4
48_142,14.666666666666668,8.509253554240729,4.4,0.3
48_142,19.11111111111111,8.509253554240729,8.6,0.45
48_142,14.999999999999998,8.509253554240729,5.1,0.34
48_142,14.666666666666668,8.509253554240729,4.4,0.3
48_142,64.5,8.509253554240729,25.8,0.4
48_142,16.25,8.509253554240729,6.5,0.4
48_142,15.714285714285715,8.509253554240729,19.8,1.26
48_142,24.0,8.509253554240729,7.2,0.3
48_142,14.18181818181818,8.509253554240729,15.6,1.1
48_142,14.4,8.509253554240729,7.2,0.5
48_142,14.333333333333334,8.509253554240729,8.6,0.6
48_142,14.999999999999998,8.509253554240729,5.1,0.34
48_142,14.40677966101695,8.509253554240729,17.0,1.18
48_142,15.8,8.509253554240729,7.9,0.5
48_142,17.0,8.509253554240729,5.1,0.3
48_142,17.0,8.509253554240729,5.1,0.3
48_142,16.296296296296298,8.509253554240729,4.4,0.27
48_142,14.666666666666668,8.509253554240729,4.4,0.3
48_142,14.959349593495935,8.509253554240729,18.4,1.23
48_142,17.6,8.509253554240729,4.4,0.25
48_142,14.666666666666668,8.509253554240729,4.4,0.3
48_142,14.499999999999998,8.509253554240729,5.8,0.4
48_142,18.5,8.509253554240729,3.7,0.2
48_142,14.499999999999998,8.509253554240729,5.8,0.4
48_142,20.285714285714285,8.509253554240729,14.2,0.7
48_142,16.08695652173913,8.509253554240729,3.7,0.23
48_142,17.2,8.509253554240729,8.6,0.5
48_142,21.764705882352942,8.509253554240729,3.7,0.17
48_142,16.923076923076923,8.509253554240729,19.8,1.17
48_142,14.818181818181818,8.509253554240729,16.3,1.1
48_142,28.666666666666668,8.509253554240729,8.6,0.3
48_142,14.499999999999998,8.509253554240729,5.8,0.4
48_142,15.937499999999998,8.509253554240729,5.1,0.32
48_142,14.499999999999998,8.509253554240729,5.8,0.4
48_142,18.080000000000002,8.509253554240729,22.6,1.25
48_142,14.084507042253522,8.509253554240729,10.0,0.71
48_142,15.377358490566037,8.509253554240729,16.3,1.06
48_142,14.117647058823529,8.509253554240729,7.2,0.51
48_142,14.173913043478263,8.509253554240729,16.3,1.15
48_142,16.11111111111111,8.509253554240729,5.8,0.36
48_142,75.0,8.509253554240729,3.0,0.04
48_142,17.0,8.509253554240729,5.1,0.3
48_142,16.666666666666668,8.509253554240729,10.0,0.6
48_142,14.065934065934066,8.509253554240729,12.8,0.91
48_142,14.146341463414634,8.509253554240729,5.8,0.41
48_142,14.666666666666668,8.509253554240729,4.4,0.3
48_142,15.490196078431373,8.509253554240729,7.9,0.51
