route_id,fare_per_min,avg_fare_per_min,trip_duration_minutes
100_163,1.652542373,1.081428068,3.933333333
100_163,1.728,1.081428068,4.166666667
100_163,1.848341232,1.081428068,3.516666667
100_163,1.736263736,1.081428068,4.55
100_163,1.594095941,1.081428068,4.516666667
100_163,1.881081081,1.081428068,3.083333333
100_163,1.604938272,1.081428068,4.05
100_163,2.448,1.081428068,2.083333333
100_163,1.886462882,1.081428068,3.816666667
100_170,1.763265306,1.099969968,4.083333333
100_170,1.795918367,1.099969968,2.45
100_170,1.821989529,1.099969968,3.183333333
100_170,1.832335329,1.099969968,2.783333333
100_170,1.757575758,1.099969968,3.3
100_170,1.690607735,1.099969968,3.016666667
100_170,1.68115942,1.099969968,3.45
100_170,1.75862069,1.099969968,2.9
100_170,1.722772277,1.099969968,3.366666667
100_170,2.154929577,1.099969968,2.366666667
100_170,1.877300613,1.099969968,2.716666667
100_170,1.731343284,1.099969968,3.35
100_170,1.766497462,1.099969968,3.283333333
100_170,1.7,1.099969968,3
100_170,1.66507177,1.099969968,3.483333333
100_170,1.591836735,1.099969968,4.083333333
100_170,1.589041096,1.099969968,3.65
100_170,1.74,1.099969968,3.333333333
100_170,1.783783784,1.099969968,2.466666667
100_170,1.596330275,1.099969968,3.633333333
100_170,1.7,1.099969968,3
100_170,1.775510204,1.099969968,3.266666667
100_170,1.85915493,1.099969968,2.366666667
100_170,2.110344828,1.099969968,2.416666667
100_170,1.961538462,1.099969968,2.6
100_170,1.7,1.099969968,3
100_170,1.885714286,1.099969968,2.333333333
100_170,2.237288136,1.099969968,1.966666667
100_170,1.738636364,1.099969968,2.933333333
100_170,1.877300613,1.099969968,2.716666667
100_170,1.581818182,1.099969968,3.666666667
100_170,4.434782609,1.099969968,6.133333333
100_170,1.8125,1.099969968,3.2
100_170,1.777777778,1.099969968,4.05
100_170,1.731343284,1.099969968,3.35
100_170,1.839622642,1.099969968,3.533333333
100_170,1.611111111,1.099969968,3.6
100_170,1.66507177,1.099969968,3.483333333
100_170,1.672131148,1.099969968,3.05
100_170,2.030769231,1.099969968,2.166666667
100_170,1.618604651,1.099969968,3.583333333
100_181,1.60810006,1.183169302,27.98333333
100_181,1.537688442,1.183169302,26.53333333
100_211,1.594405594,1.022842376,7.15
100_211,1.363636364,1.022842376,9.9
100_211,1.32967033,1.022842376,9.1
100_211,1.509355509,1.022842376,8.016666667
100_211,1.334431631,1.022842376,10.11666667
100_211,1.432835821,1.022842376,8.933333333
100_211,1.371794872,1.022842376,7.8
100_211,1.469107551,1.022842376,7.283333333
100_211,1.314935065,1.022842376,10.26666667
100_211,1.692307692,1.022842376,7.15
100_224,1.44,1.035361843,7.916666667
100_225,1.302677532,1.015939539,28.63333333
100_229,1.298701299,0.992345298,7.7
100_229,1.516304348,0.992345298,6.133333333
100_229,1.252609603,0.992345298,7.983333333
100_229,1.347826087,0.992345298,6.9
100_229,1.409836066,0.992345298,6.1
100_229,1.294354839,0.992345298,8.266666667
100_229,1.305755396,0.992345298,9.266666667
100_229,1.307839388,0.992345298,8.716666667
100_229,1.360544218,0.992345298,7.35
100_229,1.398496241,0.992345298,6.65
100_229,1.282051282,0.992345298,7.8
100_229,1.638095238,0.992345298,5.25
100_229,1.310043668,0.992345298,7.633333333
100_229,1.31557377,0.992345298,8.133333333
100_229,1.30964467,0.992345298,6.566666667
100_229,1.414096916,0.992345298,7.566666667
100_229,1.290566038,0.992345298,8.833333333
100_229,1.257352941,0.992345298,9.066666667
100_229,1.277227723,0.992345298,6.733333333
100_229,1.366742597,0.992345298,7.316666667
100_229,1.282051282,0.992345298,7.8
100_229,1.268181818,0.992345298,7.333333333
100_229,1.34551495,0.992345298,10.03333333
100_232,1.613981763,1.128488398,10.96666667
100_232,1.624203822,1.128488398,10.46666667
100_232,1.724238026,1.128488398,11.48333333
100_233,1.385964912,1.012969525,5.7
100_233,1.362776025,1.012969525,5.283333333
100_233,1.560538117,1.012969525,3.716666667
100_233,1.472049689,1.012969525,5.366666667
100_233,2.175,1.012969525,2.666666667
100_233,1.360169492,1.012969525,7.866666667
100_233,1.5,1.012969525,4.8
100_233,1.667953668,1.012969525,4.316666667
100_233,1.585284281,1.012969525,4.983333333
100_233,1.410714286,1.012969525,5.6
100_233,1.372340426,1.012969525,6.266666667
100_233,1.488549618,1.012969525,4.366666667
100_233,1.848341232,1.012969525,3.516666667
100_233,1.351089588,1.012969525,6.883333333
100_233,1.34375,1.012969525,6.4
100_233,1.390029326,1.012969525,5.683333333
100_237,1.557692308,1.009658154,8.666666667
100_237,1.595744681,1.009658154,6.266666667
100_237,3.079178886,1.009658154,22.73333333
100_237,1.506224066,1.009658154,8.033333333
100_237,1.430769231,1.009658154,6.5
100_237,1.457831325,1.009658154,8.3
100_237,1.412658228,1.009658154,6.583333333
100_237,1.474088292,1.009658154,8.683333333
100_237,1.524940618,1.009658154,7.016666667
100_237,1.608579088,1.009658154,6.216666667
100_237,1.456834532,1.009658154,9.266666667
100_237,1.493449782,1.009658154,7.633333333
100_237,1.558659218,1.009658154,5.966666667
100_237,2.213471503,1.009658154,16.08333333
100_237,1.524590164,1.009658154,6.1
100_237,1.431980907,1.009658154,6.983333333
100_237,1.474285714,1.009658154,5.833333333
100_237,1.641943734,1.009658154,6.516666667
100_237,1.466992665,1.009658154,6.816666667
100_237,1.509355509,1.009658154,8.016666667
100_237,1.657458564,1.009658154,6.033333333
100_237,1.396363636,1.009658154,9.166666667
100_237,1.424860853,1.009658154,8.983333333
100_237,1.423503326,1.009658154,7.516666667
100_237,2.256043956,1.009658154,27.3
100_237,1.449209932,1.009658154,7.383333333
100_237,1.453521127,1.009658154,5.916666667
100_237,1.446327684,1.009658154,8.85
100_237,1.617391304,1.009658154,5.75
100_237,1.411764706,1.009658154,7.083333333
100_238,1.584,1.084965907,12.5
100_238,1.480791618,1.084965907,14.31666667
100_238,1.824742268,1.084965907,9.7
100_238,1.47660312,1.084965907,9.616666667
100_238,1.603340292,1.084965907,7.983333333
100_238,1.596100279,1.084965907,11.96666667
100_238,1.546218487,1.084965907,11.9
100_238,1.436762226,1.084965907,9.883333333
100_238,1.657657658,1.084965907,11.1
100_238,1.539923954,1.084965907,8.766666667
100_238,1.476340694,1.084965907,10.56666667
100_238,1.642533937,1.084965907,7.366666667
100_238,1.456026059,1.084965907,10.23333333
100_238,1.463917526,1.084965907,9.7
100_24,1.438271605,1.124085372,16.2
100_24,1.472222222,1.124085372,14.4
100_24,1.494712103,1.124085372,14.18333333
100_255,1.901498929,1.200530192,15.56666667
100_256,1.544078362,1.108662379,18.71666667
100_261,1.657142857,1.124448824,15.75
